


Нагрузка
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet8/12 --> НТГ Красноармейская 38 П3 (подвал), АВ, SW073-AR127-32.ntg, Ethernet0/0/52
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet12/15 --> НТГ Первомайская 19 П1 Э13 (ТЭ), АВ, SW163-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/14 --> НТГ Первомайская 21 П3 Э6 (БВК), АВ, SW212-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/6 --> НТГ Ленина 23 П6 Э6 (чердак), АВ, SW096-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/5 --> НТГ Ленина 23 П3 Э6 (чердак), АВ, SW095-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/14 --> НТГ Ленина 22 Э5, АВ, SW072-AR127-32.ntg, FastEthernet0/24
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet12/12 --> НТГ Ленина 6 П1 Э5 (чердак), АВ, SW075-AR127-32.ntg, Ethernet1/0/28
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/20 --> НТГ Первомайская 21 П4 Э5 (коммутатор в подвале у клиента), КК, SW136-AR127-32.ntg, RMON:10/100 Port 24 on Unit 1
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/16 --> НТГ Горошникова 56 П1 (БВК), АВ, SW231-AR127-32.ntg, FastEthernet0/24
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/23 --> НТГ Красноармейская 38 П5 (подвал), АВ, SW265-AR127-32.ntg, Ethernet1/0/28
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet8/16 --> НТГ Ленина 36 П3 (ТЭ), АВ, SW095-AR127-32.ntg, GigabitEthernet0/1
НТГ Первомайская 35 П1 Э1 (квартира), РУА, SW031-AR127-32.ntg, FastEthernet0/4 --> НТГ Пархоменко 1/А П1 Э2 (Серверная администрации), КК, CSW188-AR127-32.ntg, GigabitEthernet0/24
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/19 --> НТГ Ленина 59 П3 (чердак), АВ, SW101-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/4 --> НТГ Победы 47/2 П1 Э1, РУА, ICC003-32.ntg, eth1
НТГ Победы 47/2 П1 Э1, РУА, AR80-05.ntg, TenGigabitEthernet13/4 --> НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, TenGigabitEthernet10/5
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet12/16 --> НТГ Первомайская 32 П4 Э6 (чердак), АВ, SW165-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/15 --> НТГ Карла Маркса 20 П2 Э6 (чердак), АВ, SW213-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/5 --> НТГ Карла Маркса 26 П2 Э6 (чердак), АВ, SW050-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/14 --> НТГ Карла Маркса 22 П2 Э6 (чердак), АВ, SW106-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet13/12 --> НТГ Ленина 26 П2 Э6 (чердак), АВ, SW177-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet12/9 --> НТГ Ленина 32 П2 Э6 (чердак), АВ, SW156-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/13 --> НТГ Ленина 30 П2 Э6 (чердак), АВ, SW104-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet1/10 --> НТГ Ленина 34 П2 Э6 (чердак), АВ, SW012-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet1/9 --> НТГ Пархоменко 3 П3 Э6 (чердак), АВ, SW010-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet13/5 --> НТГ Пархоменко 9 П2 Э6 (чердак), АВ, SW170-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet12/15 --> НТГ Пархоменко 5 П2 Э6 (чердак), АВ, SW164-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/11 --> НТГ Ленина 28 П2 (чердак), АВ, SW097-AR127-32.ntg, RMON:10/100 Port 24 on Unit 1
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/18 --> НТГ Горошникова 37 П1 Э2 (стойка), КК, CSW083-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/36 --> НТГ Пархоменко 1 П2 Э6 (чердак), АВ, SW082-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet9/2 --> НТГ Садовая 93 П1 Э10 (ТЭ), АВ, SW169-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/6 --> НТГ Садовая 91 П1 Э15 (ТЭ), АВ, SW077-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/43 --> НТГ Садовая 97/1 П1 (ТЭ), АВ, SW094-AR127-32.ntg, Ethernet1/0/28
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/1 --> НТГ Садовая 97 П4 Э10 (ТЭ), АВ, SW046-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/2 --> НТГ Садовая 97 П7 Э10 (ТЭ), АВ, SW047-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/16 --> НТГ Садовая 97 П2 Э10 (ТЭ), АВ, SW045-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/10 --> НТГ Красногвардейская 12 П1 Э10 (ТЭ), АВ, SW038-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet9/9 --> НТГ Красногвардейская 14 П1 Э15 (тех этаж), АВ, SW176-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/8 --> НТГ Садовая 52 П1 Э15 (ТЭ), АВ, SW076-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet5/14 --> НТГ Садовая 48 П2 Э10 (ТЭ), АВ, SW068-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/15 --> НТГ Садовая 50 П2 Э10 (ТЭ), АВ, SW105-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet9/6 --> НТГ Садовая 87 П2 Э11 (техэтаж), АВ, SW116-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/20 --> НТГ Садовая 40 П2 (чердак), АВ, SW244-AR127-32.ntg, Ethernet1/25
